Heading,Name,Week,Resource Link,Lecture Link
•Tutorial 2,Problem 1 - solution,Week 2,https://hello.iitk.ac.in/sites/default/files/eso209a21/T2-P12.pdf?userid=27382&lid=59&filename=T2-P12.pdf,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/59.mp4
•Tutorial 2,Problem sheet,Week 2,https://hello.iitk.ac.in/sites/default/files/eso209a21/Tutorial%202.pdf?userid=27382&lid=58&filename=Tutorial%202.pdf,No Lecture Video
•Math Toolbox,Lecture 3 - part 4 of 4,Week 2,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/45.mp4
•Math Toolbox,Lecture 3 - part 3 of 4,Week 2,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/44.mp4
•Math Toolbox,Lecture 3 - part 2 of 4,Week 2,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/43.mp4
•Math Toolbox,Lecture 3 - part 1 of 4,Week 2,"https://hello.iitk.ac.in/sites/default/files/eso209a21/Lecture%203_0.pdf?userid=27382&lid=41&filename=Lecture%203_0.pdf
https://hello.iitk.ac.in/sites/default/files/eso209a21/Lecture%203%20with%20notes_0.pdf?userid=27382&lid=41&filename=Lecture%203%20with%20notes_0.pdf
",https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/41.mp4
•Math Toolbox,Review of Lecture 2,Week 2,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/46.mp4
•Math Toolbox,Lecture 2 - part 4 of 4,Week 2,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/38.mp4
•Math Toolbox,Lecture 2 - part 3 of 4,Week 2,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/37.mp4
•Math Toolbox,Lecture 2 - part 2 of 4,Week 2,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/36.mp4
•Math Toolbox,Lecture 2 - part 1 of 4,Week 2,"https://hello.iitk.ac.in/sites/default/files/eso209a21/Lecture%202_0.pdf?userid=27382&lid=35&filename=Lecture%202_0.pdf
https://hello.iitk.ac.in/sites/default/files/eso209a21/Lecture%202%20with%20notes_0.pdf?userid=27382&lid=35&filename=Lecture%202%20with%20notes_0.pdf
https://hello.iitk.ac.in/sites/default/files/eso209a21/Textbook%20-%20L2%20.pdf?userid=27382&lid=35&filename=Textbook%20-%20L2%20.pdf
",https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/35.mp4
•Math Toolbox,Review of Lecture L1,Week 2,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/40.mp4
•Tutorial 1,Problem 6 - solution,Week 1,https://hello.iitk.ac.in/sites/default/files/eso209a21/T1-P6.pdf?userid=27382&lid=19&filename=T1-P6.pdf,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/19.mp4
